name,price,comment
 Python编程 从入门到实践 第2版 零基础学Python编程教程书籍，数据分析、网络爬虫、深度学习技能，畅销经典蟒蛇书升级版，附赠源代码、练习答案、学习视频、学习速查地图读者交流群等资源。,107.6,223058
 Python编程快速上手 让繁琐工作自动化 第2版 Python编程从入门到实践姊妹篇，零基础自学Python教程书籍，提供配套同步教学视频、在线编程环境，初版译著豆瓣评分9.6分！针对Python3.X版本更新，海量学习资源随书送,87.2,45100
 利用Python进行数据分析（原书第2版） Python数据分析经典畅销书全新升级，第1版中文版累计销售100000册 Python pandas创始人亲自执笔，Python语言的核心开发人员鼎立推荐 针对Python 3.6进行全面修订和更新,77.4,34471
 零基础学Python（全彩版） Python3全新升级！超20万读者认可的彩色书，从基本概念到完整项目开发，助您快速掌握Python编程。全程视频+完整源码+215道课后题+实物魔卡+海量资源,65.9,16399
 笨办法学Python 3 经典畅销Python入门教程升级版 Python3编程从入门到实践教程 手机扫码看5个小时配套视频 跟着数百万人的Python导师学Python编程入门基础教程 代码基于Python3.6,57.8,16318
 DK编程真好玩：9岁开始学Python DK经典少儿编程启蒙书，从图形化编程进阶正式编程语言，通过创编游戏，轻松掌握人工智能时代编程语言Python，锻炼逻辑思维，培养解决问题的能力。教育大V“憨爸在美国”，知名科普作家徐来鼎力推荐。,91.9,14571
 Python Cookbook（第3版）中文版 经典Python图书升级版本 Python编程从入门到实践 涵盖Python 3.3 包含大量实用Python编程技巧和Python黑魔法 囊括常见Python编程领域,105.8,12871
 流畅的Python 【图灵程序设计丛书】PSF研究员 知名PyCon演讲者心血之作 全面深入 对Python语言关键特性剖析到位 兼顾Python 3和Python 2,93.2,10572
 Python学习手册（原书第5版） 零基础学Python3，Python编程从入门到实践，详解利用Python进行数据分析、机器学习、网络爬虫的Python编程语言基础，完整覆盖Python核心技术，助你快速入门并进行项目开发实战,142.4,10270
 零基础入门学习Python（第2版）-微课视频版 Python 3.7编程轻松入门 小甲鱼畅销图书 实例贯穿全书 30小时视频讲解 轻松学会Python 累计销售13万册,85.4,7351
 Python语言程序设计基础（第2版） 新形态Mooc教材带你玩转Python，轻松编程！原创实例激发学习者热情！,29.2,7033
 看漫画学Python：有趣、有料、好玩、好用（全彩版） 看漫画学Python，有趣、简单！提供配套视频、定期答疑，小灰、大胡子、臧秀涛等力赞！关东升、赵大羽力作,87.2,6517
 超简单：用Python让Excel飞起来 让excel化繁为简，零基础学python，用python实现办公自动化，减少重复工作。一书在手，数据不愁，用Python操控Excel让工作更高效，办公自动化典型场景应用，零基础办公人士学编程的不二,68.4,5444
 Python青少年趣味编程全彩版 独家配备71集视频教学课程 手机扫码看视频 少儿编程 小学生趣味编程 教孩子学编程 少 ,59.0,3802
 Python项目开发案例集锦（全彩版） Python3，涵盖8大开发方向，23个主流项目，扫码看项目开发流程，附赠电子书、技术答疑、全部源码、项目配置说明，Pyhton开发高手案头常用书,122.9,3672
 Python Qt GUI与数据可视化编程 PyQt5教程书籍 pyqt5快速开发实例教程 Python Qt5 GUI快速编程 示例丰富的Python GUI编程和数据可视化编程的实用指南,97.0,3379
 Python极客项目编程 开发有趣的极客项目，掌握实用的Python编程技能,67.6,3338
 零基础学Python爬虫 数据分析与可视化从入门到精通 零基础学Python入门与提高轻松上手，网络爬虫，大数据分析与可视化，量化金融，网络爬虫从入门到精通，Excel自动化办公、自然语言NLP中文分词基础、机器学习基础、深度学习基础，附赠超值基础讲解视频,88.0,3268
 Python数据分析与挖掘实战（第2版） 公认经典，第1版销售10万余册，100余所高校用作教材；提供上机环境、源代码、建模数据、教学PPT,77.4,3150
 Python爬虫技术――深入理解原理、技术与开发 网红技术专家！JetBrains大中华区市场部经理赵磊作序！超过300个实战案例，10万行源代码，22个综合实战项目，海量学习资料！,85.4,2749
 Python编程超级魔卡(全彩版) 500余个方法随身查，速查、速用，速记就用编程超级魔卡,14.9,2741
 Python实效编程百例・综合卷(全彩版) 百战编程，锤炼编程技能，提升编程思维―102个实例：数据分析、游戏开发、爬虫开发、Web项目等8大开发方向，赠完整源代码，208个素材，百日编程大作战从这里开始,76.6,1549
 学Python 不加班 轻松实现办公自动化 Python编程快速上手零基础入门实践教程，用Python处理Excel、Word、PPT、PDF、图像文件，提升职场办公效率，解决办公难题，附赠学习资源和教学视频,97.0,1536
 Python GUI设计PyQt5从入门到实践（全彩版） 零基础入门PyQt5，基于Python3，手把手教你使用PyQt5设计PythonGUI窗体项目，更好的展现数据分析、爬虫、自动化测试、游戏等项目效果,96.0,1256
