name,rate
星汉灿烂,7.4
幸福到万家,7.3
自闭也有爱 美国版,8.7
宠物的秘密生活,8.1
影之宅  第二季,8.3
非常律师禹英禑,9.3
庭外·盲区,0
梦华录,8.1
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
怪奇物语 第四季,9.2
妈，别闹了！,6.8
石子和羽男-这种事情也好告吗？-,0
夏日重现,9.2
幸福到万家,7.3
自闭也有爱 美国版,8.7
宠物的秘密生活,8.1
影之宅  第二季,8.3
非常律师禹英禑,9.3
庭外·盲区,0
梦华录,8.1
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
怪奇物语 第四季,9.2
妈，别闹了！,6.8
石子和羽男-这种事情也好告吗？-,0
夏日重现,9.2
终极名单,8.4
自闭也有爱 美国版,8.7
宠物的秘密生活,8.1
影之宅  第二季,8.3
非常律师禹英禑,9.3
庭外·盲区,0
梦华录,8.1
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
怪奇物语 第四季,9.2
妈，别闹了！,6.8
石子和羽男-这种事情也好告吗？-,0
夏日重现,9.2
终极名单,8.4
正义的算法,7.7
宠物的秘密生活,8.1
影之宅  第二季,8.3
非常律师禹英禑,9.3
庭外·盲区,0
梦华录,8.1
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
怪奇物语 第四季,9.2
妈，别闹了！,6.8
石子和羽男-这种事情也好告吗？-,0
夏日重现,9.2
终极名单,8.4
正义的算法,7.7
密室大逃脱 第四季,0
影之宅  第二季,8.3
非常律师禹英禑,9.3
庭外·盲区,0
梦华录,8.1
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
怪奇物语 第四季,9.2
妈，别闹了！,6.8
石子和羽男-这种事情也好告吗？-,0
夏日重现,9.2
终极名单,8.4
正义的算法,7.7
密室大逃脱 第四季,0
关于唐医生的一切,7.4
非常律师禹英禑,9.3
庭外·盲区,0
梦华录,8.1
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
怪奇物语 第四季,9.2
妈，别闹了！,6.8
石子和羽男-这种事情也好告吗？-,0
夏日重现,9.2
终极名单,8.4
正义的算法,7.7
密室大逃脱 第四季,0
关于唐医生的一切,7.4
黑袍纠察队 第三季,8.8
庭外·盲区,0
梦华录,8.1
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
怪奇物语 第四季,9.2
妈，别闹了！,6.8
石子和羽男-这种事情也好告吗？-,0
夏日重现,9.2
终极名单,8.4
正义的算法,7.7
密室大逃脱 第四季,0
关于唐医生的一切,7.4
黑袍纠察队 第三季,8.8
人生第二次,9.2
梦华录,8.1
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
怪奇物语 第四季,9.2
妈，别闹了！,6.8
石子和羽男-这种事情也好告吗？-,0
夏日重现,9.2
终极名单,8.4
正义的算法,7.7
密室大逃脱 第四季,0
关于唐医生的一切,7.4
黑袍纠察队 第三季,8.8
人生第二次,9.2
初恋的恶魔,0
快乐再出发,0
破事精英,7.7
间谍过家家,9.0
生化危机,4.8
警察荣誉,8.6
大山的女儿,9.1
黑鸟,8.5
安娜,7.7
